fiscal_year,fiscal_period,fiscal_period_name,cost_center_id,cost_center_name,department_name,gl_account_id,gl_account_name,pnl_category,actual_amount,budget_amount,variance_amount,variance_pct,variance_direction,is_material,variance_driver,variance_driver_detail,driver_confidence,prior_period_variance_amount,variance_change_vs_prior,variance_trend_direction,rolling_3_period_variance,period_close_status,has_late_posting,late_posting_amount,late_posting_period_count,data_maturity_level,explanation_readiness,finance_signoff_flag
2024,1,FY24-P01,CC1002,Marketing Brand,Marketing,6500,Software Licenses,Opex,225177.71,235950.0,-10772.29,-0.045654955707690285,Favorable,False,Rate,Rate,Medium,0.0,-10772.29,Stable,-10772.29,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1002,Marketing Brand,Marketing,6600,Contractors,Opex,280810.42,268125.0,12685.42,0.047311576397937066,Unfavorable,False,Rate,Rate,Medium,0.0,12685.42,Stable,12685.42,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1002,Marketing Brand,Marketing,6700,Employee Benefits,Opex,420127.35,429000.0,-8872.65,-0.02068217185929071,Favorable,False,Timing,Timing,Medium,0.0,-8872.65,Stable,-8872.65,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1002,Marketing Brand,Marketing,6800,Training & Development,Opex,77968.78,75075.0,2893.78,0.03854517479368068,Unfavorable,False,Timing,Timing,Medium,0.0,2893.78,Stable,2893.78,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1002,Marketing Brand,Marketing,6900,Office Expenses,Opex,88357.33,91162.5,-2805.17,-0.03077114097433401,Favorable,False,Timing,Timing,Medium,0.0,-2805.17,Stable,-2805.17,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1002,Marketing Brand,Marketing,7000,Data & Analytics Tools,Opex,163469.32,160875.0,2594.32,0.01612633185677101,Unfavorable,False,Timing,Timing,Medium,0.0,2594.32,Stable,2594.32,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1003,Marketing Events,Marketing,6100,Paid Advertising,Opex,337362.0,321750.0,15612.0,0.04852215206607578,Unfavorable,False,Volume,Volume,Medium,0.0,15612.0,Stable,15612.0,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1003,Marketing Events,Marketing,6200,Cloud Infrastructure,Opex,710108.34,643500.0,66608.34,0.10350946687793748,Unfavorable,True,Rate,Rate,High,0.0,66608.34,Stable,66608.34,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1003,Marketing Events,Marketing,6300,Professional Services,Opex,190440.59,193050.0,-2609.41,-0.013516782102991579,Favorable,False,Timing,Timing,Medium,0.0,-2609.41,Stable,-2609.41,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1003,Marketing Events,Marketing,6400,Travel & Entertainment,Opex,93721.02,96525.0,-2803.98,-0.02904929692285123,Favorable,False,Timing,Timing,Medium,0.0,-2803.98,Stable,-2803.98,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1003,Marketing Events,Marketing,6500,Software Licenses,Opex,246252.86,235950.0,10302.86,0.0436654587712494,Unfavorable,False,Volume,Volume,Medium,0.0,10302.86,Stable,10302.86,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1003,Marketing Events,Marketing,6600,Contractors,Opex,259307.41,268125.0,-8817.59,-0.032886135180190304,Favorable,False,Timing,Timing,Medium,0.0,-8817.59,Stable,-8817.59,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1003,Marketing Events,Marketing,6700,Employee Benefits,Opex,414559.97,429000.0,-14440.03,-0.03365975062380716,Favorable,False,Timing,Timing,Medium,0.0,-14440.03,Stable,-14440.03,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1003,Marketing Events,Marketing,6800,Training & Development,Opex,78750.1,75075.0,3675.1,0.04895233506365952,Unfavorable,False,Volume,Volume,Medium,0.0,3675.1,Stable,3675.1,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1003,Marketing Events,Marketing,6900,Office Expenses,Opex,94288.02,91162.5,3125.52,0.03428519201898096,Unfavorable,False,Timing,Timing,Medium,0.0,3125.52,Stable,3125.52,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1003,Marketing Events,Marketing,7000,Data & Analytics Tools,Opex,156516.06,160875.0,-4358.94,-0.027095192803589564,Favorable,False,Timing,Timing,Medium,0.0,-4358.94,Stable,-4358.94,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2001,Engineering Platform,Engineering,6100,Paid Advertising,Opex,429033.6,438750.0,-9716.4,-0.022145634232910168,Favorable,False,Timing,Timing,Medium,0.0,-9716.4,Stable,-9716.4,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2001,Engineering Platform,Engineering,6200,Cloud Infrastructure,Opex,847066.49,877500.0,-30433.51,-0.034682058769640825,Favorable,False,Timing,Timing,Medium,0.0,-30433.51,Stable,-30433.51,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2001,Engineering Platform,Engineering,6300,Professional Services,Opex,307705.84,263250.0,44455.84,0.16887308638254017,Unfavorable,True,One-Time,One-Time,High,0.0,44455.84,Stable,44455.84,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2001,Engineering Platform,Engineering,6400,Travel & Entertainment,Opex,134080.15,131625.0,2455.15,0.018652639835385607,Unfavorable,False,Timing,Timing,Medium,0.0,2455.15,Stable,2455.15,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2001,Engineering Platform,Engineering,6500,Software Licenses,Opex,337755.68,321750.0,16005.68,0.04974571076886522,Unfavorable,False,Rate,Rate,Medium,0.0,16005.68,Stable,16005.68,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2001,Engineering Platform,Engineering,6600,Contractors,Opex,349813.78,365625.0,-15811.22,-0.04324436165693924,Favorable,False,Rate,Rate,Medium,0.0,-15811.22,Stable,-15811.22,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2001,Engineering Platform,Engineering,6700,Employee Benefits,Opex,579976.05,585000.0,-5023.95,-0.008587940724650439,Favorable,False,Timing,Timing,Medium,0.0,-5023.95,Stable,-5023.95,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2001,Engineering Platform,Engineering,6800,Training & Development,Opex,100679.63,102375.0,-1695.37,-0.016560426754366683,Favorable,False,Timing,Timing,Medium,0.0,-1695.37,Stable,-1695.37,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2001,Engineering Platform,Engineering,6900,Office Expenses,Opex,102968.03,124312.5,-21344.47,-0.17170009530654864,Favorable,True,One-Time,One-Time,High,0.0,-21344.47,Stable,-21344.47,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2001,Engineering Platform,Engineering,7000,Data & Analytics Tools,Opex,226108.47,219375.0,6733.47,0.030693858904048535,Unfavorable,False,Timing,Timing,Medium,0.0,6733.47,Stable,6733.47,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2002,Engineering Product,Engineering,6100,Paid Advertising,Opex,484272.82,438750.0,45522.82,0.1037557187413435,Unfavorable,True,Volume,Volume,High,0.0,45522.82,Stable,45522.82,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2002,Engineering Product,Engineering,6200,Cloud Infrastructure,Opex,869303.44,877500.0,-8196.56,-0.009340803984037915,Favorable,False,Timing,Timing,Medium,0.0,-8196.56,Stable,-8196.56,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2002,Engineering Product,Engineering,6300,Professional Services,Opex,259510.35,263250.0,-3739.65,-0.014205685619215591,Favorable,False,Timing,Timing,Medium,0.0,-3739.65,Stable,-3739.65,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2002,Engineering Product,Engineering,6400,Travel & Entertainment,Opex,112111.18,131625.0,-19513.82,-0.14825313929405176,Favorable,True,One-Time,One-Time,High,0.0,-19513.82,Stable,-19513.82,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2002,Engineering Product,Engineering,6500,Software Licenses,Opex,280452.35,321750.0,-41297.65,-0.12835321786593012,Favorable,True,One-Time,One-Time,High,0.0,-41297.65,Stable,-41297.65,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2002,Engineering Product,Engineering,6600,Contractors,Opex,375309.17,365625.0,9684.17,0.026486618323223354,Unfavorable,False,Timing,Timing,Medium,0.0,9684.17,Stable,9684.17,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2002,Engineering Product,Engineering,6700,Employee Benefits,Opex,587595.32,585000.0,2595.32,0.004436439649055421,Unfavorable,False,Timing,Timing,Medium,0.0,2595.32,Stable,2595.32,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2002,Engineering Product,Engineering,6800,Training & Development,Opex,104106.72,102375.0,1731.72,0.016915415829576966,Unfavorable,False,Timing,Timing,Medium,0.0,1731.72,Stable,1731.72,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2002,Engineering Product,Engineering,6900,Office Expenses,Opex,123339.36,124312.5,-973.14,-0.007828169919707403,Favorable,False,Timing,Timing,Medium,0.0,-973.14,Stable,-973.14,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2002,Engineering Product,Engineering,7000,Data & Analytics Tools,Opex,231321.7,219375.0,11946.7,0.05445791130252961,Unfavorable,False,Rate,Rate,Medium,0.0,11946.7,Stable,11946.7,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2003,Engineering Infrastructure,Engineering,6100,Paid Advertising,Opex,379833.65,438750.0,-58916.35,-0.13428226805687613,Favorable,True,One-Time,One-Time,High,0.0,-58916.35,Stable,-58916.35,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2003,Engineering Infrastructure,Engineering,6200,Cloud Infrastructure,Opex,836055.06,877500.0,-41444.94,-0.0472307012642754,Favorable,False,Rate,Rate,Medium,0.0,-41444.94,Stable,-41444.94,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2003,Engineering Infrastructure,Engineering,6300,Professional Services,Opex,263492.07,263250.0,242.07,0.0009195458373161061,Unfavorable,False,Timing,Timing,Medium,0.0,242.07,Stable,242.07,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2003,Engineering Infrastructure,Engineering,6400,Travel & Entertainment,Opex,129633.47,131625.0,-1991.53,-0.015130337689062245,Favorable,False,Timing,Timing,Medium,0.0,-1991.53,Stable,-1991.53,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2003,Engineering Infrastructure,Engineering,6500,Software Licenses,Opex,339259.63,321750.0,17509.63,0.054419969718420336,Unfavorable,False,Volume,Volume,Medium,0.0,17509.63,Stable,17509.63,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2003,Engineering Infrastructure,Engineering,6600,Contractors,Opex,365125.08,365625.0,-499.92,-0.0013673150365262551,Favorable,False,Timing,Timing,Medium,0.0,-499.92,Stable,-499.92,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2003,Engineering Infrastructure,Engineering,6700,Employee Benefits,Opex,575381.25,585000.0,-9618.75,-0.01644230793828798,Favorable,False,Timing,Timing,Medium,0.0,-9618.75,Stable,-9618.75,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2003,Engineering Infrastructure,Engineering,6800,Training & Development,Opex,88903.11,102375.0,-13471.89,-0.13159351171217226,Favorable,True,One-Time,One-Time,High,0.0,-13471.89,Stable,-13471.89,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2003,Engineering Infrastructure,Engineering,6900,Office Expenses,Opex,120446.95,124312.5,-3865.55,-0.031095408906332025,Favorable,False,Timing,Timing,Medium,0.0,-3865.55,Stable,-3865.55,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC2003,Engineering Infrastructure,Engineering,7000,Data & Analytics Tools,Opex,208285.78,219375.0,-11089.22,-0.05054915420503607,Favorable,False,Rate,Rate,Medium,0.0,-11089.22,Stable,-11089.22,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3001,Finance G&A,G&A,6100,Paid Advertising,Opex,240710.9,234000.0,6710.9,0.028679069620640048,Unfavorable,False,Timing,Timing,Medium,0.0,6710.9,Stable,6710.9,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3001,Finance G&A,G&A,6200,Cloud Infrastructure,Opex,457491.36,468000.0,-10508.64,-0.02245436930877352,Favorable,False,Timing,Timing,Medium,0.0,-10508.64,Stable,-10508.64,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3001,Finance G&A,G&A,6300,Professional Services,Opex,144164.25,140400.0,3764.25,0.02681092078229945,Unfavorable,False,Timing,Timing,Medium,0.0,3764.25,Stable,3764.25,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3001,Finance G&A,G&A,6400,Travel & Entertainment,Opex,70316.56,70200.0,116.56,0.0016604272450952418,Unfavorable,False,Timing,Timing,Medium,0.0,116.56,Stable,116.56,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3001,Finance G&A,G&A,6500,Software Licenses,Opex,176381.08,171600.0,4781.08,0.02786177436044731,Unfavorable,False,Timing,Timing,Medium,0.0,4781.08,Stable,4781.08,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3001,Finance G&A,G&A,6600,Contractors,Opex,210402.45,195000.0,15402.45,0.07898693384861125,Unfavorable,False,Volume,Volume,Medium,0.0,15402.45,Stable,15402.45,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3001,Finance G&A,G&A,6700,Employee Benefits,Opex,310109.14,312000.0,-1890.86,-0.006060462000154251,Favorable,False,Timing,Timing,Medium,0.0,-1890.86,Stable,-1890.86,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3001,Finance G&A,G&A,6800,Training & Development,Opex,54185.33,54600.0,-414.67,-0.00759476984824237,Favorable,False,Timing,Timing,Medium,0.0,-414.67,Stable,-414.67,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3001,Finance G&A,G&A,6900,Office Expenses,Opex,70630.51,66300.0,4330.51,0.06531687636260083,Unfavorable,False,Volume,Volume,Medium,0.0,4330.51,Stable,4330.51,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3001,Finance G&A,G&A,7000,Data & Analytics Tools,Opex,115863.36,117000.0,-1136.64,-0.00971486627115268,Favorable,False,Timing,Timing,Medium,0.0,-1136.64,Stable,-1136.64,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3002,HR Operations,G&A,6100,Paid Advertising,Opex,230210.81,234000.0,-3789.19,-0.01619311604420538,Favorable,False,Timing,Timing,Medium,0.0,-3789.19,Stable,-3789.19,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3002,HR Operations,G&A,6200,Cloud Infrastructure,Opex,455953.49,468000.0,-12046.51,-0.025740414839458048,Favorable,False,Timing,Timing,Medium,0.0,-12046.51,Stable,-12046.51,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3002,HR Operations,G&A,6300,Professional Services,Opex,138116.61,140400.0,-2283.39,-0.016263492971330736,Favorable,False,Timing,Timing,Medium,0.0,-2283.39,Stable,-2283.39,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3002,HR Operations,G&A,6400,Travel & Entertainment,Opex,76074.59,70200.0,5874.59,0.08368359301141859,Unfavorable,True,Volume,Volume,High,0.0,5874.59,Stable,5874.59,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3002,HR Operations,G&A,6500,Software Licenses,Opex,169319.2,171600.0,-2280.8,-0.01329136416212718,Favorable,False,Timing,Timing,Medium,0.0,-2280.8,Stable,-2280.8,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3002,HR Operations,G&A,6600,Contractors,Opex,195459.04,195000.0,459.04,0.002354035883685275,Unfavorable,False,Timing,Timing,Medium,0.0,459.04,Stable,459.04,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3002,HR Operations,G&A,6700,Employee Benefits,Opex,319158.21,312000.0,7158.21,0.02294298450844426,Unfavorable,False,Timing,Timing,Medium,0.0,7158.21,Stable,7158.21,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3002,HR Operations,G&A,6800,Training & Development,Opex,53758.06,54600.0,-841.94,-0.015420165456256529,Favorable,False,Timing,Timing,Medium,0.0,-841.94,Stable,-841.94,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3002,HR Operations,G&A,6900,Office Expenses,Opex,65930.28,66300.0,-369.72,-0.005576402310843803,Favorable,False,Timing,Timing,Medium,0.0,-369.72,Stable,-369.72,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3002,HR Operations,G&A,7000,Data & Analytics Tools,Opex,118116.06,117000.0,1116.06,0.009538964970879783,Unfavorable,False,Timing,Timing,Medium,0.0,1116.06,Stable,1116.06,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3003,Legal & Compliance,G&A,6100,Paid Advertising,Opex,232751.88,234000.0,-1248.12,-0.0053338634370157165,Favorable,False,Timing,Timing,Medium,0.0,-1248.12,Stable,-1248.12,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3003,Legal & Compliance,G&A,6200,Cloud Infrastructure,Opex,490200.85,468000.0,22200.85,0.047437703425447675,Unfavorable,False,Volume,Volume,Medium,0.0,22200.85,Stable,22200.85,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3003,Legal & Compliance,G&A,6300,Professional Services,Opex,142322.47,140400.0,1922.47,0.013692815306470957,Unfavorable,False,Timing,Timing,Medium,0.0,1922.47,Stable,1922.47,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3003,Legal & Compliance,G&A,6400,Travel & Entertainment,Opex,68554.24,70200.0,-1645.76,-0.02344385806531176,Favorable,False,Timing,Timing,Medium,0.0,-1645.76,Stable,-1645.76,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3003,Legal & Compliance,G&A,6500,Software Licenses,Opex,171973.6,171600.0,373.6,0.0021771452346206616,Unfavorable,False,Timing,Timing,Medium,0.0,373.6,Stable,373.6,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3003,Legal & Compliance,G&A,6600,Contractors,Opex,191296.81,195000.0,-3703.19,-0.018990717852766,Favorable,False,Timing,Timing,Medium,0.0,-3703.19,Stable,-3703.19,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3003,Legal & Compliance,G&A,6700,Employee Benefits,Opex,319010.38,312000.0,7010.38,0.022469157244234796,Unfavorable,False,Timing,Timing,Medium,0.0,7010.38,Stable,7010.38,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3003,Legal & Compliance,G&A,6800,Training & Development,Opex,55609.08,54600.0,1009.08,0.018481334683902152,Unfavorable,False,Timing,Timing,Medium,0.0,1009.08,Stable,1009.08,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3003,Legal & Compliance,G&A,6900,Office Expenses,Opex,69575.61,66300.0,3275.61,0.049405892769072014,Unfavorable,False,Volume,Volume,Medium,0.0,3275.61,Stable,3275.61,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC3003,Legal & Compliance,G&A,7000,Data & Analytics Tools,Opex,127142.32,117000.0,10142.32,0.08668651423536575,Unfavorable,True,Volume,Volume,High,0.0,10142.32,Stable,10142.32,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC4001,Sales North America,Sales,6100,Paid Advertising,Opex,379813.2,380250.0,-436.8,-0.0011487099639425208,Favorable,False,Timing,Timing,Medium,0.0,-436.8,Stable,-436.8,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC4001,Sales North America,Sales,6200,Cloud Infrastructure,Opex,754479.29,760500.0,-6020.71,-0.007916776596043791,Favorable,False,Timing,Timing,Medium,0.0,-6020.71,Stable,-6020.71,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC4001,Sales North America,Sales,6300,Professional Services,Opex,225941.02,228150.0,-2208.98,-0.009682150481846712,Favorable,False,Timing,Timing,Medium,0.0,-2208.98,Stable,-2208.98,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC4001,Sales North America,Sales,6400,Travel & Entertainment,Opex,101596.12,114075.0,-12478.88,-0.10939187767311392,Favorable,True,Rate,Rate,High,0.0,-12478.88,Stable,-12478.88,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC4001,Sales North America,Sales,6500,Software Licenses,Opex,283235.56,278850.0,4385.56,0.015727320288013005,Unfavorable,False,Timing,Timing,Medium,0.0,4385.56,Stable,4385.56,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC4001,Sales North America,Sales,6600,Contractors,Opex,324058.21,316875.0,7183.21,0.022668922278742974,Unfavorable,False,Timing,Timing,Medium,0.0,7183.21,Stable,7183.21,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC4001,Sales North America,Sales,6700,Employee Benefits,Opex,506459.39,507000.0,-540.61,-0.0010662870676536387,Favorable,False,Timing,Timing,Medium,0.0,-540.61,Stable,-540.61,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC4001,Sales North America,Sales,6800,Training & Development,Opex,86721.24,88725.0,-2003.76,-0.022583928126866003,Favorable,False,Timing,Timing,Medium,0.0,-2003.76,Stable,-2003.76,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC4001,Sales North America,Sales,6900,Office Expenses,Opex,109769.32,107737.5,2031.82,0.01885897430312348,Unfavorable,False,Timing,Timing,Medium,0.0,2031.82,Stable,2031.82,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC4001,Sales North America,Sales,7000,Data & Analytics Tools,Opex,187289.93,190125.0,-2835.07,-0.014911615218421659,Favorable,False,Timing,Timing,Medium,0.0,-2835.07,Stable,-2835.07,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC4002,Sales EMEA,Sales,6100,Paid Advertising,Opex,379543.91,380250.0,-706.09,-0.0018569186312852107,Favorable,False,Timing,Timing,Medium,0.0,-706.09,Stable,-706.09,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC4002,Sales EMEA,Sales,6200,Cloud Infrastructure,Opex,830365.29,760500.0,69865.29,0.09186756811623248,Unfavorable,True,Volume,Volume,High,0.0,69865.29,Stable,69865.29,Hard Closed,False,0.0,0,Final,Ready,True
